Standard,Standings,Playoffs,Stats,AllStar,AllNBA,MVP,DPOY,AllDefense,,,
ATL,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,ATL,Atlanta Hawks,ATL,ATL,Atlanta Hawks,,,
BOS,Boston Celtics,Boston Celtics,Boston Celtics,BOS,Boston Celtics,BOS,BOS,Boston Celtics,,,
BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn Nets,BRK,,,,,,,
CHA,Charlotte Bobcats,Charlotte Bobcats,Charlotte Bobcats,CHA,,CHA,,Charlotte Bobcats,,,
CHA,Charlotte Hornets,Charlotte Hornets,Charlotte Hornets,CHH,Charlotte Hornets,CHH,,Charlotte Hornets,,,
CHA,,,,CHO,,,,,,,
CHI,Chicago Bulls,Chicago Bulls,Chicago Bulls,CHI,Chicago Bulls,CHI,CHI,Chicago Bulls,,,
CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,CLE,Cleveland Cavaliers,CLE,,Cleveland Cavaliers,,,
DAL,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,DAL,Dallas Mavericks,DAL,,Dallas Mavericks,,,
DEN,Denver Nuggets,Denver Nuggets,Denver Nuggets,DEN,Denver Nuggets,DEN,DEN,Denver Nuggets,,,
DET,Detroit Pistons,Detroit Pistons,Detroit Pistons,DET,Detroit Pistons,DET,DET,Detroit Pistons,,,
GSW,Golden State Warriors,Golden State Warriors,Golden State Warriors,GSW,Golden State Warriors,GSW,GSW,Golden State Warriors,,,
HOU,Houston Rockets,Houston Rockets,Houston Rockets,HOU,Houston Rockets,HOU,HOU,Houston Rockets,,,
IND,Indiana Pacers,Indiana Pacers,Indiana Pacers,IND,Indiana Pacers,IND,IND,Indiana Pacers,,,
KCK,Kansas City Kings,Kansas City Kings,Kansas City Kings,KCK,Kansas City Kings,KCK,,Kansas City Kings,,,
LAC,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,LAC,Los Angeles Clippers,LAC,,Los Angeles Clippers,,,
LAL,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,LAL,Los Angeles Lakers,LAL,LAL,Los Angeles Lakers,,,
MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,MEM,Memphis Grizzlies,MEM,MEM,Memphis Grizzlies,,,
MIA,Miami Heat,Miami Heat,Miami Heat,MIA,Miami Heat,MIA,MIA,Miami Heat,,,
MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,MIL,Milwaukee Bucks,MIL,MIL,Milwaukee Bucks,,,
MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,MIN,Minnesota Timberwolves,MIN,,Minnesota Timberwolves,,,
NJN,New Jersey Nets,New Jersey Nets,New Jersey Nets,NJN,New Jersey Nets,NJN,,New Jersey Nets,,,
NOH,New Orleans Hornets,New Orleans Hornets,New Orleans Hornets,NOH,New Orleans Hornets,NOH,,New Orleans Hornets,,,
NOP,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,NOP,New Orleans Pelicans,NOP,,New Orleans Pelicans,,,
NOH,New Orleans/Oklahoma City Hornets,,New Orleans/Oklahoma City Hornets,,,,,,,,
NYK,New York Knicks,New York Knicks,New York Knicks,NYK,New York Knicks,NYK,NYK,New York Knicks,,,
OKC,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,OKC,Oklahoma City Thunder,OKC,,Oklahoma City Thunder,,,
ORL,Orlando Magic,Orlando Magic,Orlando Magic,ORL,Orlando Magic,ORL,ORL,Orlando Magic,,,
PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,PHI,Philadelphia 76ers,PHI,PHI,Philadelphia 76ers,,,
PHX,Phoenix Suns,Phoenix Suns,Phoenix Suns,PHO,Phoenix Suns,PHO,,Phoenix Suns,,,
POR,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,POR,Portland Trail Blazers,POR,,Portland Trail Blazers,,,
SAC,Sacramento Kings,Sacramento Kings,Sacramento Kings,SAC,Sacramento Kings,SAC,,Sacramento Kings,,,
SAS,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,SAS,San Antonio Spurs,SAS,SAS,San Antonio Spurs,,,
SDC,San Diego Clippers,,San Diego Clippers,SDC,,SDC,,,,,
SEA,Seattle SuperSonics,Seattle SuperSonics,Seattle SuperSonics,SEA,Seattle SuperSonics,SEA,SEA,Seattle SuperSonics,,,
TOR,Toronto Raptors,Toronto Raptors,Toronto Raptors,TOR,Toronto Raptors,TOR,,Toronto Raptors,,,
UTA,Utah Jazz,Utah Jazz,Utah Jazz,UTA,Utah Jazz,UTA,UTA,Utah Jazz,,,
VAN,Vancouver Grizzlies,,Vancouver Grizzlies,,,,,,,,
WAS,Washington Bullets,Washington Bullets,Washington Bullets,WSB,Washington Bullets,WSB,,Washington Bullets,,,
WAS,Washington Wizards,Washington Wizards,Washington Wizards,WAS,Washington Wizards,WAS,,Washington Wizards,,,
